"year","tag","num_questions","year_total"
2008,"treeview",69,168541
2008,"scheduled-tasks",30,168541
2008,"specifications",21,168541
2008,"rendering",35,168541
2008,"http-post",6,168541
2008,"static-assert",1,168541
2008,"asp.net-ajax",159,168541
2008,"collision-detection",10,168541
2008,"systray",4,168541
2008,"html-helper",20,168541
2008,"lookup",11,168541
2008,"dataflow",5,168541
2008,"encapsulation",19,168541
2008,"cag",2,168541
2008,"kerberos",19,168541
2008,"simulation",15,168541
2008,"placeholder",2,168541
2008,"memory-profiling",2,168541
2008,"innodb",20,168541
2008,"applescript",29,168541
2008,"npapi",3,168541
2008,"jdialog",4,168541
2008,"cloning",1,168541
2008,"uri",21,168541
2008,"zipinputstream",1,168541
2008,"safe-mode",1,168541
2008,"lightbox2",3,168541
2008,"map",26,168541
2008,"quartz-composer",3,168541
2008,"linkbutton",2,168541
2008,"using",13,168541
2008,"xstream",5,168541
2008,"adodb",9,168541
2008,"svm",1,168541
2008,"yaws",3,168541
2008,"axis2",11,168541
2008,"functor",5,168541
2008,"signed",9,168541
2008,"python-dateutil",1,168541
2008,"thumbnails",16,168541
2008,"adaptive-compression",1,168541
2008,"objectoutputstream",3,168541
2008,"eclipse-3.2",3,168541
2008,"asdf",2,168541
2008,"dvd",7,168541
2008,"nhibernate",277,168541
2008,"assembly",86,168541
2008,"methods",79,168541
2008,"attributes",72,168541
2008,"pivot",18,168541
2008,"mnesia",7,168541
2008,"prediction",2,168541
2008,"orbited",1,168541
2008,"database",1267,168541
2008,"velocity",18,168541
2008,"memcached",42,168541
2008,"hotfix",5,168541
2008,"vt100",2,168541
2008,"accordion",9,168541
2008,"stored-functions",1,168541
2008,"tsql",380,168541
2008,"flash",458,168541
2008,"authentication",223,168541
2008,"rmi",21,168541
2008,"mjpeg",1,168541
2008,"gentoo",5,168541
2008,"device",16,168541
2008,"zope",4,168541
2008,"modulo",7,168541
2008,"multiple-resultsets",1,168541
2008,"reportlab",1,168541
2008,"device-driver",3,168541
2008,"windows-vista",237,168541
2008,"graph-theory",45,168541
2008,"sdk",18,168541
2008,"tiger-lines",1,168541
2008,"fastinfoset",1,168541
2008,"sinclair",2,168541
2008,"gnome",12,168541
2008,"mime",31,168541
2008,"vector-graphics",18,168541
2008,"theory",54,168541
2008,"pseudocode",13,168541
2008,"jquery-corner",1,168541
2008,"postsharp",6,168541
2008,"8-bit",1,168541
2008,"dojo",35,168541
2008,"schema",80,168541
2008,"mxml",25,168541
2008,"comet",15,168541
2008,"asp.net-web-api",2,168541
2008,"datafeed",1,168541
2008,"wdk",3,168541
2008,"directed-graph",7,168541
2008,"greenplum",1,168541
2008,"upnp",6,168541
2008,"pagerank",4,168541
2008,"maven-pdf-plugin",1,168541
2008,"glob",7,168541
2008,"nested-datalist",1,168541
2008,"bigtable",6,168541
2008,"netbeans6.1",4,168541
2008,"mailman",1,168541
2008,"news-ticker",1,168541
2008,"not-operator",1,168541
2008,"windows-share",1,168541
2008,"mmc",3,168541
2008,"multiplayer",2,168541
2008,"truststore",4,168541
2008,"fragment-identifier",6,168541
2008,"concat",3,168541
2008,"signing",9,168541
2008,"filehelpers",2,168541
2008,"cyclomatic-complexity",5,168541
2008,"thin-client",1,168541
2008,"cidr",2,168541
2008,"biztalk2006r2",9,168541
2008,"brokenimage",1,168541
2008,"pivot-table",10,168541
2008,"ewmh",1,168541
2008,"handler",6,168541
2008,"reflector",9,168541
2008,"mstdc",1,168541
2008,"hidden-features",16,168541
2008,"bitwise-operators",5,168541
2008,"lasso-lang",1,168541
2008,"mainframe",8,168541
2008,"clos",1,168541
2008,"tortoisehg",6,168541
2008,"eclipse-wtp",3,168541
2008,"object-slicing",1,168541
2008,"superscript",1,168541
2008,"fsm",2,168541
2008,"tabbed",1,168541
2008,"xelement",6,168541
2008,"exists",5,168541
2008,"fallback",2,168541
2008,"netadvantage",1,168541
2008,"adhoc",4,168541
2008,"oscache",1,168541
2008,"dct",1,168541
2008,"quartz-scheduler",5,168541
2008,"domain-object",1,168541
2008,"wse3.0",1,168541
2008,"userid",1,168541
2008,"tinyxml++",1,168541
2008,"quoted-identifier",1,168541
2008,"name-lookup",1,168541
2008,"richedit",5,168541
2008,"fluent",6,168541
2008,"dynamic-programming",3,168541
2008,"database-abstraction",3,168541
2008,"pipeline",8,168541
2008,"imaging",5,168541
2008,"uielement",2,168541
2008,"byval",1,168541
2008,"blog-engine",1,168541
2008,"bcrypt",1,168541
2008,"ie-mobile",2,168541
2008,"video-encoding",1,168541
2008,"true-type-fonts",2,168541
2008,"cxf",4,168541
2008,"grep",34,168541
2008,"junit",73,168541
2008,"autoresetevent",1,168541
2008,"hql",19,168541
2008,"samba",9,168541
2008,"sql-update",22,168541
2008,"spring-ws",5,168541
2008,"slime",5,168541
2008,"livesearch",3,168541
2008,"wsdl2java",3,168541
2008,"most-vexing-parse",1,168541
2008,"code-migration",6,168541
2008,"user-stories",8,168541
2008,"directx",52,168541
2008,"identicon",5,168541
2008,"interpreter",22,168541
2008,"modem",6,168541
2008,"performance",847,168541
2008,"messaging",37,168541
2008,"selenium-grid",2,168541
2008,"soap",143,168541
2008,"internationalization",124,168541
2008,"web-crawler",30,168541
2008,"hyper-v",13,168541
2008,"tkinter",18,168541
2008,"concrete-syntax-tree",1,168541
2008,"httpwebrequest",25,168541
2008,"osc",1,168541
2008,"swingx",2,168541
2008,"search",199,168541
2008,"assemblies",98,168541
2008,"insert",37,168541
2008,"cgi",52,168541
2008,"operators",40,168541
2008,"distro",3,168541
2008,"porting",16,168541
2008,"word-diff",2,168541
2008,"datetime",223,168541
2008,"large-files",20,168541
2008,"ergonomics",9,168541
2008,"xterm",6,168541
2008,"parsec",2,168541
2008,"tryparse",2,168541
2008,"uuid",14,168541
2008,"openid",67,168541
2008,"com+",14,168541
2008,"click-through",1,168541
2008,"contains",3,168541
2008,"movabletype",3,168541
2008,"noscript",3,168541
2008,"jar-signing",2,168541
2008,"remoting",63,168541
2008,"voicexml",2,168541
2008,"getopts",3,168541
2008,"syntax-highlighting",38,168541
2008,"phpdoc",4,168541
2008,"visual-assist",4,168541
2008,"transactions",115,168541
2008,"jasper-reports",14,168541
2008,"apache-poi",7,168541
2008,"flex-lexer",5,168541
2008,"named-pipes",11,168541
2008,"bmp",6,168541
2008,"readability",17,168541
2008,"normalize",3,168541
2008,"git-filter-branch",2,168541
2008,"bcel",3,168541
2008,"solution-explorer",2,168541
2008,"cobol",11,168541
2008,"security",637,168541
2008,"externals",3,168541
2008,"filesize",10,168541
2008,"aspmenu",4,168541
2008,"jvm-arguments",3,168541
2008,"bloom-filter",1,168541
2008,"children",5,168541
2008,"freetext",4,168541
2008,"cappuccino",4,168541
2008,"tcp",92,168541
2008,"iis-modules",1,168541
2008,"crashrpt",3,168541
2008,"office-addins",1,168541
2008,"sqlconnection",10,168541
2008,"outer-join",7,168541
2008,"hide",3,168541
2008,"z-order",4,168541
2008,"file-type",8,168541
2008,"soa",39,168541
2008,"wireless",19,168541
2008,"short",1,168541
2008,"font-size",12,168541
2008,"swift-mt",1,168541
2008,"google-visualization",7,168541
2008,"ajax.net",9,168541
2008,"variadic-functions",13,168541
2008,"derived-table",3,168541
2008,"user-defined-types",2,168541
2008,"callback",38,168541
2008,"autocomplete",57,168541
2008,"branching-and-merging",5,168541
2008,"dto-mapping",4,168541
2008,"system-monitoring",3,168541
2008,"kohana",5,168541
2008,"diophantine",1,168541
2008,"cloud",22,168541
2008,"file",331,168541
2008,"language-agnostic",660,168541
2008,"reflection",246,168541
2008,"thinking-sphinx",5,168541
2008,"printing",120,168541
2008,"prompt",9,168541
2008,"iis-7",84,168541
2008,"driver",10,168541
2008,"wincvs",2,168541
2008,"tiff",21,168541
2008,"fedora",8,168541
2008,"absolute-path",5,168541
2008,"visualsvn-server",21,168541
2008,"android-emulator",1,168541
2008,"xmltextreader",3,168541
2008,"hive",3,168541
2008,"partial-application",3,168541
2008,"bulksms",1,168541
2008,"bare-metal",2,168541
2008,"artifactory",1,168541
2008,"init-parameters",1,168541
2008,"ram-scraping",1,168541
2008,"svn-checkout",5,168541
2008,"energy",1,168541
2008,"dynamically-generated-co",1,168541
2008,"vssget",1,168541
2008,"variance",1,168541
2008,"code-injection",12,168541
2008,"2phase-commit",2,168541
2008,"wsacleanup",1,168541
2008,"crc-cards",1,168541
2008,"apache-commons-httpclient",3,168541
2008,"cursor.current",1,168541
2008,"objdump",1,168541
2008,"cdma",1,168541
2008,"serverxmlhttp",6,168541
2008,"rtml",2,168541
2008,"regex-negation",3,168541
2008,"ms-project",6,168541
2008,"mvcc",1,168541
2008,"time-complexity",6,168541
2008,"activescaffold",5,168541
2008,"evaluation",8,168541
2008,"spam",5,168541
2008,"google-base",1,168541
2008,"terminal-emulator",3,168541
2008,"alphabetized",2,168541
2008,"dot-product",1,168541
2008,"jcl",1,168541
2008,"vhd",2,168541
2008,"loose",1,168541
2008,"mmap",3,168541
2008,"minidom",2,168541
2008,"pervasive",2,168541
2008,"iphone-web-app",3,168541
2008,"pys60",3,168541
2008,"sector",1,168541
2008,"framebuffer",4,168541
2008,"class-members",1,168541
2008,"naked-objects",1,168541
2008,"tab-ordering",1,168541
2008,"lotusscript",3,168541
2008,"mask",2,168541
2008,"gurobi",1,168541
2008,"instant-message",1,168541
2008,"apdu",1,168541
2008,"variable-expansion",1,168541
2008,"private-key",2,168541
2008,"nmea",3,168541
2008,"doc",5,168541
2008,"lookupfield",1,168541
2008,"app-store-connect",2,168541
2008,"erd",3,168541
2008,"qt-creator",1,168541
2008,"pixelsense",2,168541
2008,"compiler-directives",2,168541
2008,"fieldtype",1,168541
2008,"dataflow-diagram",1,168541
2008,"foaf",1,168541
2008,"hcalendar",1,168541
2008,"occlusion",1,168541
2008,"entity-sql",2,168541
2008,"msf",2,168541
2008,"in-memory",1,168541
2008,"console.readkey",1,168541
2008,"httpunhandledexception",1,168541
2008,"revert",2,168541
2008,"fastercsv",3,168541
2008,"junitperf",1,168541
2008,"pvcs",2,168541
2008,"odbc-sql-server-driver",2,168541
2008,"templatebinding",1,168541
2008,"componentone",2,168541
2008,"cookiecontainer",1,168541
2008,"templating",3,168541
2008,"python-decimal",1,168541
2008,"begininvoke",3,168541
2008,"novell",6,168541
2008,"syncml",1,168541
2008,"paperless",1,168541
2008,"html-agility-pack",3,168541
2008,"read-write",2,168541
2008,"heapalloc",1,168541
